product_id;product_label;product_price;product_total_sales;CA_product;z_score;is_premium
4115;Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017;100.0;0;0.0;2.427385420938595;true
6213;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016;121.0;0;0.0;3.182495224103193;true
5025;"Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012";112.0;0;0.0;2.8588767370326513;true
6202;Domaine Clerget Echezeaux Grand Cru En Orveaux 2015;116.4;0;0.0;3.017090219600472;true
6212;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015;115.0;2;230.0;2.9667495660561656;true
4582;Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014;109.6;0;0.0;2.77257847381384;true
5008;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013;105.0;0;0.0;2.607173469311119;true
5001;David Duband Charmes-Chambertin Grand Cru 2014;217.5;0;0.0;6.652404557692893;true
5892;Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016;191.3;3;573.9000000000001;5.710315184220872;true
5916;Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde;93.0;0;0.0;2.1756821532170627;true
5917;Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain;122.0;0;0.0;3.218452833777698;true
4355;Champagne Egly-Ouriet Grand Cru Blanc de Noirs;126.5;11;1391.5;3.380262077312969;true
4404;Cognac Frapin Château de Fontpinot XO;108.5;2;217.0;2.733025103171885;true
4407;Cognac Frapin Cigar Blend;104.0;1;104.0;2.571215859636614;true
4132;Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012;88.4;0;0.0;2.0102771487143416;true
4352;Champagne Egly-Ouriet Grand Cru Millésimé 2008;225.0;5;1125.0;6.922086630251679;true
4903;Domaine Des Croix Corton Grand Cru Les Grèves 2017;102.3;0;0.0;2.510087923189956;true
5565;Tempier Bandol Cabassaou 2017;92.0;0;0.0;2.1397245435425583;true
5612;Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2;124.8;0;0.0;3.319134140866311;true
5007;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014;105.0;0;0.0;2.607173469311119;true
5767;Camille Giroud Clos de Vougeot 2016;175.0;0;0.0;5.124206146526445;true
6126;Champagne Gosset Célébris Vintage 2007;135.0;2;270.0;3.6859017595462586;true
4402;Cognac Frapin VIP XO;176.0;13;2288.0;5.16016375620095;true
6216;Domaine des Comtes Lafon Volnay 1er Cru Champans 2016;121.0;0;0.0;3.182495224103193;true
4406;Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age;157.0;0;0.0;4.4769691723853615;true
4904;Domaine Des Croix Corton Charlemagne Grand Cru 2016;137.0;5;685.0;3.757816978895268;true
6201;David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016;105.6;0;0.0;2.6287480351158212;true
6214;Domaine des Comtes Lafon Volnay 1er Cru Champans 2013;99.0;0;0.0;2.3914278112640908;true
6215;Domaine des Comtes Lafon Volnay 1er Cru Champans 2014;115.0;0;0.0;2.9667495660561656;true
5918;Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie;114.0;0;0.0;2.9307919563816607;true
